source,location,image,mask_coral,status,coral_pixels,height,width,group_key,has_coral,split
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_BC_PM_T1_29nov24_CDaza_corr.jpg,bleaching_data_RS\masks_coral\C10_BC_PM_T1_29nov24_CDaza_corr_coral.png,created,5233395,2421,3209,bleaching_data_RS,1,train
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_BC_PM_T2_29nov24_CDaza_corr.jpg,bleaching_data_RS\masks_coral\C10_BC_PM_T2_29nov24_CDaza_corr_coral.png,created,1840556,2365,3233,bleaching_data_RS,1,train
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_BC_PM_T3_29nov24_CDaza_corr.jpg,bleaching_data_RS\masks_coral\C10_BC_PM_T3_29nov24_CDaza_corr_coral.png,created,3833311,2306,3201,bleaching_data_RS,1,train
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_BC_PP_T1_29nov24_HBenavides_corr.jpg,bleaching_data_RS\masks_coral\C10_BC_PP_T1_29nov24_HBenavides_corr_coral.png,created,2526932,2545,3392,bleaching_data_RS,1,train
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_BC_PP_T2_29nov24_HBenavides_corr.jpg,bleaching_data_RS\masks_coral\C10_BC_PP_T2_29nov24_HBenavides_corr_coral.png,created,3930640,2554,3421,bleaching_data_RS,1,train
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_BC_PP_T3_29nov24_HBenavides_corr.jpg,bleaching_data_RS\masks_coral\C10_BC_PP_T3_29nov24_HBenavides_corr_coral.png,created,4973520,2593,3385,bleaching_data_RS,1,train
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_BC_PSb_T1_29nov24_HBenavides_corr.jpg,bleaching_data_RS\masks_coral\C10_BC_PSb_T1_29nov24_HBenavides_corr_coral.png,created,2654125,2610,3445,bleaching_data_RS,1,train
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_BC_PSb_T2_29nov24_HBenavides_corr.jpg,bleaching_data_RS\masks_coral\C10_BC_PSb_T2_29nov24_HBenavides_corr_coral.png,created,4521992,2749,3465,bleaching_data_RS,1,train
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_Gr_PM_T1_30nov24_CGomez_corr.jpg,bleaching_data_RS\masks_coral\C10_Gr_PM_T1_30nov24_CGomez_corr_coral.png,created,3919281,2473,3233,bleaching_data_RS,1,train
bleaching_data_RS,bleaching,bleaching_data_RS\images\C10_Gr_PM_T2_30nov24_CGomez_corr.jpg,bleaching_data_RS\masks_coral\C10_Gr_PM_T2_30nov24_CGomez_corr_coral.png,created,1410333,2429,3209,bleaching_data_RS,1,train
