dataset,site,image_resized,mask_resized
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (75)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (75)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (51)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (51)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (216)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (216)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (118)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (118)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (51)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (51)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (156)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (156)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (391)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (391)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (107)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (107)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (76)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (76)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (206)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (206)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (223)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (223)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (164)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (164)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (181)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (181)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (127)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (127)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (188)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (188)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (170)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (170)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (30)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (30)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (87)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (87)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (166)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (166)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (190)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (190)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (122)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (122)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (45)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (45)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (198)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (198)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (249)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (249)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (169)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (169)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB8 (52)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB8 (52)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (28)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (28)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (78)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (78)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (36)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (36)_mask.png
