dataset,site,image_resized,mask_resized
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009009701_img.png,../coral_project_outputs\resized_data\26009009701_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009009801_img.png,../coral_project_outputs\resized_data\26009009801_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009009901_img.png,../coral_project_outputs\resized_data\26009009901_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009010201_img.png,../coral_project_outputs\resized_data\26009010201_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009010301_img.png,../coral_project_outputs\resized_data\26009010301_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009010401_img.png,../coral_project_outputs\resized_data\26009010401_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009010701_img.png,../coral_project_outputs\resized_data\26009010701_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009010801_img.png,../coral_project_outputs\resized_data\26009010801_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009010901_img.png,../coral_project_outputs\resized_data\26009010901_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009011901_img.png,../coral_project_outputs\resized_data\26009011901_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009017101_img.png,../coral_project_outputs\resized_data\26009017101_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009024901_img.png,../coral_project_outputs\resized_data\26009024901_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009028601_img.png,../coral_project_outputs\resized_data\26009028601_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009039201_img.png,../coral_project_outputs\resized_data\26009039201_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009051501_img.png,../coral_project_outputs\resized_data\26009051501_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009055601_img.png,../coral_project_outputs\resized_data\26009055601_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26009064101_img.png,../coral_project_outputs\resized_data\26009064101_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010099801_img.png,../coral_project_outputs\resized_data\26010099801_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010113401_img.png,../coral_project_outputs\resized_data\26010113401_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010140401_img.png,../coral_project_outputs\resized_data\26010140401_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010148201_img.png,../coral_project_outputs\resized_data\26010148201_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010148301_img.png,../coral_project_outputs\resized_data\26010148301_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010148501_img.png,../coral_project_outputs\resized_data\26010148501_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010154101_img.png,../coral_project_outputs\resized_data\26010154101_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010159701_img.png,../coral_project_outputs\resized_data\26010159701_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010168101_img.png,../coral_project_outputs\resized_data\26010168101_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010177001_img.png,../coral_project_outputs\resized_data\26010177001_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010177201_img.png,../coral_project_outputs\resized_data\26010177201_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010177301_img.png,../coral_project_outputs\resized_data\26010177301_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010177401_img.png,../coral_project_outputs\resized_data\26010177401_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010177501_img.png,../coral_project_outputs\resized_data\26010177501_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010177601_img.png,../coral_project_outputs\resized_data\26010177601_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010178501_img.png,../coral_project_outputs\resized_data\26010178501_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010178601_img.png,../coral_project_outputs\resized_data\26010178601_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010178701_img.png,../coral_project_outputs\resized_data\26010178701_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010178801_img.png,../coral_project_outputs\resized_data\26010178801_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010178901_img.png,../coral_project_outputs\resized_data\26010178901_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010179001_img.png,../coral_project_outputs\resized_data\26010179001_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010179101_img.png,../coral_project_outputs\resized_data\26010179101_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010179201_img.png,../coral_project_outputs\resized_data\26010179201_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010179301_img.png,../coral_project_outputs\resized_data\26010179301_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010179401_img.png,../coral_project_outputs\resized_data\26010179401_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010179501_img.png,../coral_project_outputs\resized_data\26010179501_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010179601_img.png,../coral_project_outputs\resized_data\26010179601_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26010179701_img.png,../coral_project_outputs\resized_data\26010179701_mask.png
benthic,SEAVIEW_IDN_PHL,../coral_project_outputs\resized_data\26012003301_img.png,../coral_project_outputs\resized_data\26012003301_mask.png
