dataset,site,image_path,mask_path,mask_binary_path,mask_status_path
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009009701.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009009701_mask.png,../coral_project_outputs/normalized_masks\benthic_000000_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009009801.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009009801_mask.png,../coral_project_outputs/normalized_masks\benthic_000001_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009009901.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009009901_mask.png,../coral_project_outputs/normalized_masks\benthic_000002_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009010201.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009010201_mask.png,../coral_project_outputs/normalized_masks\benthic_000003_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009010301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009010301_mask.png,../coral_project_outputs/normalized_masks\benthic_000004_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009010401.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009010401_mask.png,../coral_project_outputs/normalized_masks\benthic_000005_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009010701.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009010701_mask.png,../coral_project_outputs/normalized_masks\benthic_000006_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009010801.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009010801_mask.png,../coral_project_outputs/normalized_masks\benthic_000007_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009010901.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009010901_mask.png,../coral_project_outputs/normalized_masks\benthic_000008_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009011901.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009011901_mask.png,../coral_project_outputs/normalized_masks\benthic_000009_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009017101.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009017101_mask.png,../coral_project_outputs/normalized_masks\benthic_000010_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009024901.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009024901_mask.png,../coral_project_outputs/normalized_masks\benthic_000011_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009028601.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009028601_mask.png,../coral_project_outputs/normalized_masks\benthic_000012_binary.png,
